Date,Ticker,Industry,UnderlyingPrice,VIX,OptionType,Expiration,DTE,Strike,Bid,Ask,Last,Volume,log_moneyness,YTE,Spread,ITM
2020-08-26,AAPL,Technology,150.74,19.37,Call,2020-10-07,30,135.66,15.18,15.59,15.37,342,0.10540474289739048,0.08213552361396304,0.41000000000000014,1
2020-08-26,AAPL,Technology,150.74,19.37,Call,2020-10-07,30,150.74,3.42,3.5,3.45,561,0.0,0.08213552361396304,0.08000000000000007,0
2020-08-26,AAPL,Technology,150.74,19.37,Call,2020-10-07,30,165.81,0.16,0.17,0.17,352,-0.09528605609795741,0.08213552361396304,0.010000000000000009,0
2020-08-26,AAPL,Technology,150.74,19.37,Call,2020-12-30,90,135.66,16.13,17.08,16.84,279,0.10540474289739048,0.2464065708418891,0.9499999999999993,1
2020-08-26,AAPL,Technology,150.74,19.37,Call,2020-12-30,90,150.74,5.98,6.32,6.27,453,0.0,0.2464065708418891,0.33999999999999986,0
2020-08-26,AAPL,Technology,150.74,19.37,Call,2020-12-30,90,165.81,1.38,1.46,1.4,314,-0.09528605609795741,0.2464065708418891,0.08000000000000007,0
2020-08-26,AAPL,Technology,150.74,19.37,Call,2021-05-05,180,135.66,17.6,19.49,18.87,215,0.10540474289739048,0.4928131416837782,1.889999999999997,1
2020-08-26,AAPL,Technology,150.74,19.37,Call,2021-05-05,180,150.74,8.45,9.34,9.29,370,0.0,0.4928131416837782,0.8900000000000006,0
2020-08-26,AAPL,Technology,150.74,19.37,Call,2021-05-05,180,165.81,3.27,3.62,3.62,258,-0.09528605609795741,0.4928131416837782,0.3500000000000001,0
2020-08-27,AAPL,Technology,148.31,19.12,Call,2020-10-08,30,133.48,14.92,15.32,15.25,360,0.10535302387069806,0.08213552361396304,0.40000000000000036,1
2020-08-27,AAPL,Technology,148.31,19.12,Call,2020-10-08,30,148.31,3.32,3.4,3.37,555,0.0,0.08213552361396304,0.08000000000000007,0
2020-08-27,AAPL,Technology,148.31,19.12,Call,2020-10-08,30,163.14,0.15,0.15,0.15,351,-0.09530405011856304,0.08213552361396304,0.0,0
2020-08-27,AAPL,Technology,148.31,19.12,Call,2020-12-31,90,133.48,15.83,16.75,16.04,268,0.10535302387069806,0.2464065708418891,0.9199999999999999,1
2020-08-27,AAPL,Technology,148.31,19.12,Call,2020-12-31,90,148.31,5.81,6.14,6.13,462,0.0,0.2464065708418891,0.33000000000000007,0
2020-08-27,AAPL,Technology,148.31,19.12,Call,2020-12-31,90,163.14,1.31,1.38,1.32,323,-0.09530405011856304,0.2464065708418891,0.06999999999999984,0
2020-08-27,AAPL,Technology,148.31,19.12,Call,2021-05-06,180,133.48,17.25,19.1,18.18,229,0.10535302387069806,0.4928131416837782,1.8500000000000014,1
2020-08-27,AAPL,Technology,148.31,19.12,Call,2021-05-06,180,148.31,8.22,9.08,8.91,368,0.0,0.4928131416837782,0.8599999999999994,0
2020-08-27,AAPL,Technology,148.31,19.12,Call,2021-05-06,180,163.14,3.13,3.47,3.19,249,-0.09530405011856304,0.4928131416837782,0.3400000000000003,0
2020-08-28,AAPL,Technology,150.09,19.44,Call,2020-10-09,30,135.08,15.11,15.52,15.16,331,0.1053679186508564,0.08213552361396304,0.41000000000000014,1
2020-08-28,AAPL,Technology,150.09,19.44,Call,2020-10-09,30,150.09,3.41,3.5,3.41,548,0.0,0.08213552361396304,0.08999999999999986,0
2020-08-28,AAPL,Technology,150.09,19.44,Call,2020-10-09,30,165.1,0.17,0.17,0.17,340,-0.09531623675785894,0.08213552361396304,0.0,0
2020-08-28,AAPL,Technology,150.09,19.44,Call,2021-01-01,90,135.08,16.06,17.01,16.24,288,0.1053679186508564,0.2464065708418891,0.9500000000000028,1
2020-08-28,AAPL,Technology,150.09,19.44,Call,2021-01-01,90,150.09,5.97,6.31,6.16,444,0.0,0.2464065708418891,0.33999999999999986,0
2020-08-28,AAPL,Technology,150.09,19.44,Call,2021-01-01,90,165.1,1.38,1.46,1.39,315,-0.09531623675785894,0.2464065708418891,0.08000000000000007,0
2020-08-28,AAPL,Technology,150.09,19.44,Call,2021-05-07,180,135.08,17.54,19.42,19.01,212,0.1053679186508564,0.4928131416837782,1.8800000000000026,1
2020-08-28,AAPL,Technology,150.09,19.44,Call,2021-05-07,180,150.09,8.44,9.33,8.88,389,0.0,0.4928131416837782,0.8900000000000006,0
2020-08-28,AAPL,Technology,150.09,19.44,Call,2021-05-07,180,165.1,3.27,3.63,3.3,259,-0.09531623675785894,0.4928131416837782,0.3599999999999999,0
2020-08-31,AAPL,Technology,152.34,18.74,Call,2020-10-12,30,137.11,15.32,15.73,15.68,347,0.10533134157607835,0.08213552361396304,0.41000000000000014,1
2020-08-31,AAPL,Technology,152.34,18.74,Call,2020-10-12,30,152.34,3.35,3.43,3.39,573,0.0,0.08213552361396304,0.08000000000000007,0
2020-08-31,AAPL,Technology,152.34,18.74,Call,2020-10-12,30,167.58,0.14,0.14,0.14,343,-0.09534598424049838,0.08213552361396304,0.0,0
2020-08-31,AAPL,Technology,152.34,18.74,Call,2021-01-04,90,137.11,16.21,17.16,17.1,284,0.10533134157607835,0.2464065708418891,0.9499999999999993,1
2020-08-31,AAPL,Technology,152.34,18.74,Call,2021-01-04,90,152.34,5.86,6.19,6.14,469,0.0,0.2464065708418891,0.33000000000000007,0
2020-08-31,AAPL,Technology,152.34,18.74,Call,2021-01-04,90,167.58,1.27,1.34,1.3,288,-0.09534598424049838,0.2464065708418891,0.07000000000000006,0
2020-08-31,AAPL,Technology,152.34,18.74,Call,2021-05-10,180,137.11,17.62,19.51,17.84,204,0.10533134157607835,0.4928131416837782,1.8900000000000006,1
2020-08-31,AAPL,Technology,152.34,18.74,Call,2021-05-10,180,152.34,8.29,9.16,8.59,359,0.0,0.4928131416837782,0.870000000000001,0
2020-08-31,AAPL,Technology,152.34,18.74,Call,2021-05-10,180,167.58,3.08,3.41,3.31,239,-0.09534598424049838,0.4928131416837782,0.33000000000000007,0
2020-09-01,AAPL,Technology,147.75,18.65,Call,2020-10-13,30,132.98,14.85,15.25,15.01,357,0.10532291531189873,0.08213552361396304,0.40000000000000036,1
2020-09-01,AAPL,Technology,147.75,18.65,Call,2020-10-13,30,147.75,3.23,3.31,3.29,568,0.0,0.08213552361396304,0.08000000000000007,0
2020-09-01,AAPL,Technology,147.75,18.65,Call,2020-10-13,30,162.53,0.13,0.13,0.13,363,-0.095340943828877,0.08213552361396304,0.0,0
2020-09-01,AAPL,Technology,147.75,18.65,Call,2021-01-05,90,132.98,15.71,16.62,16.62,286,0.10532291531189873,0.2464065708418891,0.9100000000000001,1
2020-09-01,AAPL,Technology,147.75,18.65,Call,2021-01-05,90,147.75,5.66,5.97,5.85,449,0.0,0.2464065708418891,0.3099999999999996,0
2020-09-01,AAPL,Technology,147.75,18.65,Call,2021-01-05,90,162.53,1.21,1.28,1.23,313,-0.095340943828877,0.2464065708418891,0.07000000000000006,0
2020-09-01,AAPL,Technology,147.75,18.65,Call,2021-05-11,180,132.98,17.06,18.89,17.37,235,0.10532291531189873,0.4928131416837782,1.8300000000000018,1
2020-09-01,AAPL,Technology,147.75,18.65,Call,2021-05-11,180,147.75,8.0,8.84,8.03,380,0.0,0.4928131416837782,0.8399999999999999,0
2020-09-01,AAPL,Technology,147.75,18.65,Call,2021-05-11,180,162.53,2.96,3.28,3.15,235,-0.095340943828877,0.4928131416837782,0.31999999999999984,0
2020-09-02,AAPL,Technology,144.77,18.35,Call,2020-10-14,30,130.29,14.55,14.94,14.67,346,0.10538354095111221,0.08213552361396304,0.3899999999999988,1
2020-09-02,AAPL,Technology,144.77,18.35,Call,2020-10-14,30,144.77,3.12,3.19,3.19,560,0.0,0.08213552361396304,0.06999999999999984,0
2020-09-02,AAPL,Technology,144.77,18.35,Call,2020-10-14,30,159.25,0.12,0.12,0.12,367,-0.09532901828632044,0.08213552361396304,0.0,0
